country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases,seriousCritical,totCases1mPop
China,"81,285",+67,"3,287",+6,"74,051","3,947","1,235",56
Italy,"80,589","+6,203","8,215",+712,"10,361","62,013","3,612","1,333"
USA,"79,082","+10,871","1,143",+116,"1,864","76,075","2,112",239
Spain,"56,197","+6,682","4,145",+498,"7,015","45,037","3,166","1,202"
Germany,"43,646","+6,323",239,+33,"5,673","37,734",23,521
Iran,"29,406","+2,389","2,234",+157,"10,457","16,715","2,746",350
France,"29,155","+3,922","1,696",+365,"4,948","22,511","3,375",447
Switzerland,"11,712",+815,191,+38,131,"11,390",141,"1,353"
UK,"11,658","+2,129",578,+115,135,"10,945",163,172
S. Korea,"9,241",+104,131,+5,"4,144","4,966",59,180
Netherlands,"7,431","+1,019",434,+78,3,"6,994",582,434
Austria,"6,816","+1,228",49,+18,112,"6,655",28,757
Belgium,"6,235","+1,298",220,+42,675,"5,340",605,538
Canada,"3,897",+488,37,+1,199,"3,661",120,103
Portugal,"3,544",+549,60,+17,43,"3,441",61,348
Norway,"3,316",+232,14,,6,"3,296",70,612
Sweden,"2,840",+314,71,+9,16,"2,753",176,281
Australia,"2,806",+130,13,+2,170,"2,623",11,110
Israel,"2,666",+297,8,+3,68,"2,590",39,308
Brazil,"2,611",+57,63,+4,6,"2,542",18,12
Turkey,"2,433",,59,,26,"2,348",136,29
Malaysia,"2,031",+235,23,+3,215,"1,793",45,63
Czechia,"1,925",+271,9,+3,10,"1,906",34,180
Denmark,"1,877",+153,41,+7,1,"1,835",94,324
Ireland,"1,564",,9,,5,"1,550",39,317
Luxembourg,"1,453",+120,9,+1,6,"1,438",3,"2,321"
Japan,"1,399",+92,47,+2,359,993,57,11
Ecuador,"1,382",+171,34,+5,3,"1,345",58,78
Chile,"1,306",+164,4,+1,22,"1,280",7,68
Pakistan,"1,179",+116,9,+1,21,"1,149",5,5
Poland,"1,163",+112,14,,7,"1,142",3,31
Thailand,"1,045",+111,4,,88,953,4,15
Romania,"1,029",+123,22,+5,94,913,29,53
Saudi Arabia,"1,012",+112,3,+1,33,976,6,29
Finland,958,+78,5,+2,10,943,24,173
South Africa,927,+218,,,12,915,2,16
Indonesia,893,+103,78,+20,35,780,,3
Greece,892,+71,26,+4,36,830,53,86
Russia,840,+182,3,,38,799,8,6
Iceland,802,+65,2,,68,732,11,"2,350"
India,722,+65,16,+4,45,661,,0.5
Diamond Princess,712,,10,,597,105,15,
