country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases,seriousCritical,totCases1mPop
World,"1,493,727","+62,808","87,466","+5,432","319,101","1,087,160","48,017",192
USA,"418,572","+18,237","14,241","+1,400","22,187","382,144","9,225","1,265"
Spain,"146,690","+4,748","14,673",+628,"48,021","83,996","7,069","3,137"
Italy,"139,422","+3,836","17,669",+542,"26,491","95,262","3,693","2,306"
France,"112,950","+3,881","10,869",+541,"21,254","80,827","7,148","1,730"
Germany,"110,698","+3,035","2,192",+176,"36,081","72,425","4,895","1,321"
Iran,"64,586","+1,997","3,993",+121,"29,812","30,781","3,987",769
UK,"60,733","+5,491","7,097",+938,135,"53,501","1,559",895
Turkey,"38,226","+4,117",812,+87,"1,846","35,568","1,492",453
Belgium,"23,403","+1,209","2,240",+205,"4,681","16,482","1,276","2,019"
Switzerland,"23,248",+995,895,+74,"9,800","12,553",391,"2,686"
Netherlands,"20,549",+969,"2,248",+147,250,"18,051","1,424","1,199"
Canada,"19,179","+1,282",427,+46,"4,474","14,278",426,508
Brazil,"14,511",+477,720,+34,127,"13,664",296,68
Portugal,"13,141",+699,380,+35,196,"12,565",245,"1,289"
Austria,"12,930",+291,273,+30,"4,512","8,145",267,"1,436"
S. Korea,"10,384",+53,200,+8,"6,776","3,408",55,203
Israel,"9,404",+156,72,+7,801,"8,531",147,"1,086"
Russia,"8,672","+1,175",63,+5,580,"8,029",8,59
Sweden,"8,419",+726,687,+96,205,"7,527",678,834
Norway,"6,086",,101,+12,32,"5,953",78,"1,123"
Ireland,"6,074",+365,235,+25,25,"5,814",165,"1,230"
Australia,"6,013",+25,50,+1,"2,813","3,150",87,236
India,"5,916",+565,178,+18,506,"5,232",,4
Chile,"5,546",+430,48,+5,"1,115","4,383",362,290
Denmark,"5,402",+331,218,+15,"1,621","3,563",127,933
Czechia,"5,221",+204,99,+11,233,"4,889",103,488
Poland,"5,205",+357,159,+30,222,"4,824",160,138
Romania,"4,761",+344,215,+18,528,"4,018",162,247
Peru,"4,342","+1,388",107,,"1,301","2,934",109,132
Japan,"4,257",,93,,622,"3,542",80,34
Pakistan,"4,196",+161,60,+3,467,"3,669",25,19
Malaysia,"4,119",+156,65,+2,"1,487","2,567",76,127
Ecuador,"3,995",,220,,140,"3,635",156,226
Philippines,"3,870",+106,182,+5,96,"3,592",1,35
Saudi Arabia,"3,122",+327,41,,631,"2,450",41,90
Luxembourg,"3,034",+64,46,+2,500,"2,488",34,"4,847"
Indonesia,"2,956",+218,240,+19,222,"2,494",,11
Mexico,"2,785",+346,141,+16,633,"2,011",89,22
Serbia,"2,666",+219,65,+4,118,"2,483",112,305
UAE,"2,659",+300,12,,239,"2,408",1,269
Finland,"2,487",+179,40,+6,300,"2,147",82,449
Thailand,"2,369",+111,30,+3,888,"1,451",61,34
Panama,"2,249",+149,59,+4,16,"2,174",91,521
Qatar,"2,210",+153,6,,178,"2,026",37,767
Dominican Republic,"2,111",+155,108,+10,50,"1,953",147,195
