country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases,seriousCritical,totCases1mPop
USA,"246,521","+1,644","6,145",+75,"10,411","229,965","5,421",745
Spain,"117,710","+5,645","10,935",+587,"30,513","76,262","6,416","2,518"
Italy,"115,242",,"13,915",,"18,278","83,049","4,053","1,906"
Germany,"88,808","+4,014","1,193",+86,"24,575","63,040","3,936","1,060"
France,"59,105",,"5,387",,"12,428","41,290","6,399",905
Iran,"53,183","+2,715","3,294",+134,"17,935","31,954","4,035",633
UK,"38,168","+4,450","3,605",+684,135,"34,428",163,562
Switzerland,"19,303",+476,573,+37,"4,846","13,884",348,"2,230"
Turkey,"18,135",,356,,415,"17,364","1,101",215
Belgium,"16,770","+1,422","1,143",+132,"2,872","12,755","1,205","1,447"
Netherlands,"15,723","+1,026","1,487",+148,250,"13,986","1,182",918
Austria,"11,412",+283,168,+10,"2,022","9,222",245,"1,267"
Canada,"11,283",,173,,"1,979","9,131",120,299
S. Korea,"10,062",+86,174,+5,"6,021","3,867",55,196
Portugal,"9,886",+852,246,+37,68,"9,572",245,970
Brazil,"8,165",+121,332,+8,127,"7,706",296,38
Israel,"7,030",+173,39,+3,338,"6,653",115,812
Sweden,"6,078",+510,333,+25,103,"5,642",469,602
Australia,"5,350",+36,28,+3,585,"4,737",85,210
Norway,"5,296",+149,56,+6,32,"5,208",96,977
Russia,"4,149",+601,34,+4,281,"3,834",8,28
Czechia,"3,869",+11,46,+2,71,"3,752",77,361
Ireland,"3,849",,98,,5,"3,746",109,779
Chile,"3,737",+333,22,+4,427,"3,288",31,195
Denmark,"3,672",+286,139,+16,"1,193","2,340",153,634
Malaysia,"3,333",+217,53,+3,827,"2,453",108,103
Romania,"3,183",+445,122,+7,283,"2,778",83,165
Ecuador,"3,163",,120,,65,"2,978",100,179
Poland,"3,149",+203,59,+2,56,"3,034",50,83
Philippines,"3,018",+385,136,+29,52,"2,830",1,28
Japan,"2,617",,63,,514,"2,040",60,21
India,"2,567",+24,72,,192,"2,303",,2
Luxembourg,"2,487",,30,,80,"2,377",31,"3,973"
Pakistan,"2,458",+37,35,+1,126,"2,297",10,11
Saudi Arabia,"2,039",+154,25,+4,351,"1,663",41,59
Indonesia,"1,986",+196,181,+11,134,"1,671",,7
Thailand,"1,978",+103,19,+4,581,"1,378",23,28
Finland,"1,615",+97,20,+1,300,"1,295",68,291
Greece,"1,544",,53,,61,"1,430",91,148
Mexico,"1,510",+132,50,+13,633,827,1,12
Dominican Republic,"1,488",+108,68,+8,16,"1,404",147,137
Serbia,"1,476",+305,39,+8,42,"1,395",81,169
Panama,"1,475",,37,,9,"1,429",50,342
South Africa,"1,462",,5,,95,"1,362",7,25
