country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases,seriousCritical,totCases1mPop
USA,"104,256",+130,"1,704",+8,"2,525","100,027","2,494",315
Italy,"86,498",,"9,134",,"10,950","66,414","3,732","1,431"
Spain,"65,719",,"5,138",,"9,357","51,224","4,165","1,406"
Germany,"53,340","+2,469",395,+44,"6,658","46,287","1,581",637
Iran,"35,408","+3,076","2,517",+139,"11,679","21,212","3,206",422
France,"32,964",,"1,995",,"5,700","25,269","3,787",505
UK,"14,543",,759,,135,"13,649",163,214
Switzerland,"13,187",+259,240,+9,"1,530","11,417",203,"1,524"
S. Korea,"9,478",+146,144,+5,"4,811","4,523",59,185
Netherlands,"8,603",,546,,3,"8,054",761,502
Austria,"7,712",+15,68,+10,225,"7,419",128,856
Belgium,"7,284",,289,,858,"6,137",690,628
Turkey,"5,698",,92,,42,"5,564",241,68
Canada,"4,757",,55,,354,"4,348",120,126
Portugal,"4,268",,76,,43,"4,149",71,419
Norway,"3,794",+23,20,+1,7,"3,767",76,700
Australia,"3,635",+257,14,+1,170,"3,451",23,143
Brazil,"3,477",+60,93,+1,6,"3,378",296,16
Israel,"3,460",+425,12,,89,"3,359",50,400
Sweden,"3,069",,105,,16,"2,948",214,304
Czechia,"2,422",+143,9,,11,"2,402",34,226
Malaysia,"2,320",+159,27,+1,320,"1,973",54,72
Ireland,"2,121",,22,,5,"2,094",59,430
Denmark,"2,046",,52,,1,"1,993",109,353
Ecuador,"1,627",,41,,3,"1,583",58,92
Chile,"1,610",,5,,43,"1,562",7,84
Luxembourg,"1,605",,15,,40,"1,550",25,"2,564"
Japan,"1,499",,49,,372,"1,078",56,12
Poland,"1,436",+47,16,,7,"1,413",3,38
Pakistan,"1,408",+35,11,,25,"1,372",7,6
Romania,"1,292",,26,,115,"1,151",32,67
Russia,"1,264",+228,4,,49,"1,211",8,9
Thailand,"1,245",+109,6,+1,97,"1,142",11,18
South Africa,"1,170",,1,,31,"1,138",7,20
Finland,"1,165",+124,7,,10,"1,148",32,210
Indonesia,"1,155",+109,102,+15,59,994,,4
Saudi Arabia,"1,104",,3,,35,"1,066",6,32
Philippines,"1,075",+272,68,+14,35,972,1,10
Greece,966,,28,,52,886,66,93
India,944,+57,20,,84,840,,0.7
Iceland,890,,2,,97,791,18,"2,608"
Panama,786,,14,,2,770,20,182
Singapore,732,,2,,183,547,17,125
Mexico,717,+132,12,+4,4,701,1,6
Diamond Princess,712,,10,,597,105,15,
