country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases,seriousCritical,totCases1mPop
Argentina,690,+101,17,+4,72,601,,15
Peru,635,,11,,16,608,21,19
Croatia,635,+49,4,+1,45,586,14,155
Slovenia,632,,9,,10,613,14,304
Dominican Republic,581,,20,,3,558,,54
Estonia,575,,1,,11,563,7,433
Qatar,562,,,,43,519,6,195
Colombia,539,,6,,10,523,,11
Egypt,536,,30,,116,390,,5
Serbia,528,,8,,42,478,25,60
Hong Kong,519,,4,,111,404,5,69
Bahrain,473,+7,4,,254,215,1,278
Iraq,458,,40,,122,296,,11
New Zealand,451,+83,,,50,401,2,94
Algeria,409,,26,,29,354,,9
UAE,405,,2,,52,351,2,41
Lebanon,391,,8,,27,356,3,57
Lithuania,382,+24,5,,1,376,2,140
Armenia,372,+43,1,,28,343,6,126
Morocco,358,+13,23,,11,324,1,10
Hungary,343,+43,11,+1,34,298,6,36
Bulgaria,313,+20,5,+2,9,299,8,45
Ukraine,311,+1,8,+3,5,298,,7
Latvia,305,+25,,,1,304,3,162
Taiwan,283,+16,2,,30,251,,12
Uruguay,274,+36,,,,274,8,79
Slovakia,269,,,,2,267,1,49
Andorra,267,,3,,1,263,11,"3,456"
Costa Rica,263,,2,,3,258,5,52
Bosnia and Herzegovina,257,+20,4,,5,248,1,78
Jordan,235,,1,,18,216,,23
Kuwait,235,+10,,,64,171,11,55
Tunisia,227,,7,,2,218,10,19
San Marino,223,,21,,6,196,15,"6,572"
North Macedonia,219,,3,,3,213,1,105
Kazakhstan,204,+54,1,,14,189,,11
Moldova,199,,2,,2,195,33,49
Albania,186,,8,,31,147,3,65
Burkina Faso,180,,9,,12,159,,9
Vietnam,169,+6,,,20,149,3,2
Azerbaijan,165,,3,,15,147,6,16
Cyprus,162,,5,,15,142,3,134
Oman,152,+21,,,23,129,,30
Réunion,145,,,,1,144,,162
Faeroe Islands,144,,,,54,90,2,"2,947"
Malta,139,,,,2,137,1,315
Ghana,137,,4,,2,131,1,4
Senegal,119,,,,11,108,,7
Brunei ,115,,1,+1,11,103,1,263
Venezuela,113,,2,,31,80,2,4
Afghanistan,110,,4,,2,104,,3
Sri Lanka,109,+3,,,9,100,5,5
Uzbekistan,104,+16,2,+1,5,97,8,3
Ivory Coast,101,,,,3,98,,4
Cambodia,99,,,,13,86,1,6
Palestine,97,+6,1,,18,78,,19
Honduras,95,+27,1,,3,91,4,10
Mauritius,94,,2,,,92,1,74
Belarus,94,,,,32,62,2,10
Martinique,93,,1,,,92,12,248
Cameroon,91,,2,,2,87,,3
Channel Islands,88,,1,,,87,,506
Georgia,85,+2,,,14,71,1,21
Montenegro,82,,1,,,81,1,131
Nigeria,81,+11,1,,3,77,,0.4
Cuba,80,,2,,4,74,2,7
Bolivia,74,+13,,,,74,,6
Guadeloupe,73,,1,,,72,4,182
Trinidad and Tobago,66,,2,,1,63,,47
Kyrgyzstan,58,,,,,58,,9
Paraguay,56,+4,3,,1,52,1,8
Liechtenstein,56,,,,,56,,"1,469"
Gibraltar,55,,,,14,41,,"1,632"
Rwanda,54,,,,,54,,4
DRC,51,,3,,2,46,,0.6
Mayotte,50,,,,,50,,183
Bangladesh,48,,5,,15,28,1,0.3
Monaco,42,,,,1,41,,"1,070"
Macao,34,,,,10,24,,52
Aruba,33,,,,1,32,,309
Guatemala,32,+4,1,,4,27,1,2
Kenya,31,,1,,1,29,2,0.6
Jamaica,30,+4,1,,2,27,,10
French Polynesia,30,,,,,30,,107
Isle of Man,29,,,,,29,,341
French Guiana,28,,,,6,22,,94
Barbados,26,,,,,26,,90
Madagascar,26,,,,,26,,0.9
Togo,25,,1,,1,23,,3
Uganda,23,,,,,23,,0.5
Zambia,22,,,,,22,,1
El Salvador,19,+6,,,,19,,3
Bermuda,17,,,,2,15,,273
Ethiopia,16,,,,,16,,0.1
Maldives,16,,,,9,7,,30
New Caledonia,15,,,,,15,,53
Tanzania,13,,,,1,12,,0.2
Djibouti,12,,,,,12,,12
Equatorial Guinea,12,,,,,12,,9
Mongolia,12,+1,,,,12,,4
Dominica,11,,,,,11,,153
Mali,11,,,,,11,,0.5
Saint Martin,11,,,,,11,,284
Niger,10,,1,,,9,,0.4
Bahamas,10,,,,1,9,,25
Greenland,10,,,,2,8,,176
Eswatini,9,,,,,9,,8
Cayman Islands,8,,1,,,7,,122
Curaçao,8,,1,,2,5,,49
Guinea,8,,,,,8,,0.6
Haiti,8,,,,,8,,0.7
Myanmar,8,,,,,8,,0.1
Namibia,8,,,,2,6,,3
Suriname,8,,,,,8,,14
Gabon,7,,1,,,6,,3
Antigua and Barbuda,7,,,,,7,,71
Grenada,7,,,,,7,,62
Mozambique,7,,,,,7,,0.2
Seychelles,7,,,,,7,,71
Benin,6,,,,,6,,0.5
Eritrea,6,,,,,6,,2
Laos,6,,,,,6,,0.8
Cabo Verde,5,,1,,,4,,9
Guyana,5,,1,,,4,,6
Sudan,5,+2,1,,,4,,0.1
Zimbabwe,5,,1,,,4,,0.3
Fiji,5,,,,,5,,6
Mauritania,5,+2,,,,5,,1
Montserrat,5,,,,,5,,"1,002"
St. Barth,5,,,,,5,,506
Syria,5,,,,,5,,0.3
Nicaragua,4,,1,,,3,,0.6
Nepal,4,,,,1,3,,0.1
Angola,4,,,,,4,,0.1
Congo,4,,,,,4,,0.7
Vatican City,4,,,,,4,,"4,994"
Gambia,3,,1,,,2,,1
Bhutan,3,,,,,3,,4
CAR,3,,,,,3,,0.6
Chad,3,,,,,3,,0.2
Liberia,3,,,,,3,,0.6
Saint Lucia,3,,,,1,2,,16
Sint Maarten,3,,,,,3,,70
Somalia,3,,,,,3,,0.2
MS Zaandam,2,,,,,2,,
Anguilla,2,,,,,2,,133
Belize,2,,,,,2,,5
British Virgin Islands,2,,,,,2,,66
Guinea-Bissau,2,,,,,2,,1
Saint Kitts and Nevis,2,,,,,2,,38
Turks and Caicos,2,,,,,2,,52
Libya,1,,,,,1,,0.1
Papua New Guinea,1,,,,,1,,0.1
St. Vincent Grenadines,1,,,,,1,,9
Timor-Leste,1,,,,,1,,0.8
China,"81,394",+54,"3,295",+3,"74,971","3,128",886,57
