country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases,seriousCritical,totCases1mPop
USA,"123,776",+198,"2,229",+8,"3,231","118,316","2,666",374
Italy,"92,472",,"10,023",,"12,384","70,065","3,856","1,529"
Spain,"73,235",,"5,982",,"12,285","54,968","4,165","1,566"
Germany,"57,695",,433,,"8,481","48,781","1,581",689
France,"37,575",,"2,314",,"5,700","29,561","4,273",576
Iran,"35,408",,"2,517",,"11,679","21,212","3,206",422
UK,"17,089",,"1,019",,135,"15,935",163,252
Switzerland,"14,076",,264,,"1,595","12,217",301,"1,626"
Netherlands,"9,762",,639,,3,"9,120",914,570
S. Korea,"9,583",+105,152,+8,"5,033","4,398",59,187
Belgium,"9,134",,353,,"1,063","7,718",789,788
Austria,"8,271",,68,,225,"7,978",135,918
Turkey,"7,402",,108,,70,"7,224",445,88
Canada,"5,655",,60,,508,"5,087",120,150
Portugal,"5,170",,100,,43,"5,027",89,507
Norway,"4,032",+17,23,,7,"4,002",84,744
Australia,"3,969",+334,16,+2,226,"3,727",23,156
Brazil,"3,904",,114,,6,"3,784",296,18
Israel,"3,865",+246,12,,89,"3,764",66,447
Sweden,"3,447",,105,,16,"3,326",239,341
Czechia,"2,663",+32,13,+2,11,"2,639",45,249
Ireland,"2,415",,36,,5,"2,374",59,489
Malaysia,"2,320",,27,,320,"1,973",54,72
Denmark,"2,201",,65,,1,"2,135",109,380
Chile,"1,909",,6,,61,"1,842",7,100
Luxembourg,"1,831",,18,,40,"1,773",25,"2,925"
Ecuador,"1,823",,48,,3,"1,772",58,103
Poland,"1,717",+79,19,+1,7,"1,691",3,45
Japan,"1,693",,52,,404,"1,237",56,13
Pakistan,"1,526",+31,13,+1,29,"1,484",11,7
Romania,"1,452",,37,,139,"1,276",34,75
Thailand,"1,388",+143,7,+1,97,"1,284",11,20
Russia,"1,264",,4,,49,"1,211",8,9
Finland,"1,218",+51,9,,10,"1,199",32,220
Saudi Arabia,"1,203",,4,,37,"1,162",6,35
South Africa,"1,187",,1,,31,"1,155",7,20
Indonesia,"1,155",,102,,59,994,,4
Philippines,"1,075",,68,,35,972,1,10
Greece,"1,061",,32,,52,977,66,102
India,987,,25,+1,87,875,,0.7
Iceland,963,,2,,114,847,18,"2,822"
Panama,901,,17,,4,880,32,209
Mexico,848,+131,16,+4,4,828,1,7
Singapore,802,,3,+1,198,601,19,137
Argentina,745,,19,,72,654,,16
Dominican Republic,719,,28,,3,688,,66
Diamond Princess,712,,10,,597,105,15,
Slovenia,684,,9,,10,665,25,329
Peru,671,,16,,16,639,33,20
Serbia,659,,10,,42,607,25,75
Croatia,657,,5,,45,607,14,160
Estonia,645,,1,,20,624,10,486
Colombia,608,,6,,10,592,,12
Qatar,590,,1,,45,544,6,205
Egypt,576,,36,,121,419,,6
Hong Kong,560,,4,,112,444,5,75
New Zealand,514,,1,,56,457,1,107
Iraq,506,,42,,131,333,,13
Bahrain,476,,4,,265,207,1,280
UAE,468,,2,,55,411,2,47
Algeria,454,,29,,31,394,,10
Morocco,437,+35,26,+1,12,399,1,12
Lithuania,437,+43,7,,1,429,2,161
Armenia,424,+17,3,+2,30,391,6,143
Ukraine,418,+62,9,,5,404,,10
Lebanon,412,,8,,30,374,4,60
Hungary,408,+65,13,+2,34,361,6,42
Latvia,347,+42,,,1,346,3,184
Bulgaria,338,+7,7,,11,320,8,49
Andorra,308,,3,,1,304,10,"3,986"
Uruguay,304,,1,,,303,9,88
Taiwan,298,+15,2,,30,266,,13
Costa Rica,295,,2,,3,290,6,58
Slovakia,292,,,,2,290,1,53
Tunisia,278,,8,,2,268,10,24
Bosnia and Herzegovina,278,,6,,8,264,1,85
Kazakhstan,251,+23,1,,18,232,,13
Jordan,246,,1,,18,227,3,24
North Macedonia,241,,4,,3,234,1,116
Kuwait,235,,,,64,171,11,55
Moldova,231,,2,,2,227,33,57
San Marino,224,,22,,6,196,16,"6,602"
Burkina Faso,207,,11,,21,175,,10
Albania,197,,10,,31,156,3,68
Réunion,183,,,,1,182,,204
Azerbaijan,182,,4,,15,163,23,18
Cyprus,179,,5,,15,159,3,148
Vietnam,179,+5,,,21,158,3,2
Oman,167,+15,,,23,144,,33
Faeroe Islands,159,+4,,,70,89,1,"3,254"
Malta,149,,,,2,147,1,337
Ghana,141,,5,,2,134,1,5
Uzbekistan,133,+29,2,,7,124,8,4
Senegal,130,,,,18,112,,8
Brunei ,120,,1,,25,94,1,274
Cuba,119,,3,,4,112,2,11
Venezuela,119,,2,,39,78,2,4
Sri Lanka,115,+2,1,,10,104,5,5
Afghanistan,110,,4,,2,104,,3
Honduras,110,+15,1,,3,106,4,11
Palestine,104,,1,,18,85,,20
Cambodia,103,+4,,,21,82,1,6
Guadeloupe,102,,2,,17,83,4,255
Mauritius,102,,2,,,100,1,80
Ivory Coast,101,,,,3,98,,4
Channel Islands,100,+3,1,,,99,,575
Nigeria,97,,1,,3,93,,0.5
Belarus,94,,,,32,62,2,10
Martinique,93,,1,,,92,12,248
Cameroon,91,,2,,2,87,,3
Georgia,90,,,,18,72,1,23
Montenegro,84,,1,,,83,1,134
Kyrgyzstan,84,+26,,,,84,,13
Bolivia,81,+7,,,,81,3,7
Trinidad and Tobago,76,,3,,1,72,,54
DRC,65,,6,,2,57,,0.7
Mayotte,63,,,,,63,,231
Rwanda,60,,,,,60,,5
Paraguay,56,,3,,1,52,1,8
Gibraltar,56,,,,14,42,,"1,662"
Liechtenstein,56,,,,,56,,"1,469"
Bangladesh,48,,5,,15,28,1,0.3
Aruba,46,,,,1,45,,431
Monaco,43,,1,,1,41,,"1,096"
Madagascar,39,+13,,,,39,,1
Kenya,38,,1,,1,36,2,0.7
Guatemala,34,,1,,10,23,1,2
Macao,34,,,,10,24,,52
Jamaica,32,+2,1,,2,29,,11
Isle of Man,32,,,,,32,,376
French Polynesia,30,,,,,30,,107
Uganda,30,,,,,30,,0.7
French Guiana,28,,,,6,22,,94
Zambia,28,,,,,28,,2
Barbados,26,,,,,26,,90
Togo,25,,1,,1,23,,3
El Salvador,24,+5,,,,24,,4
Mali,18,,1,,,17,,0.9
Bermuda,17,,,,2,15,,273
Maldives,17,+1,,,11,6,,31
Ethiopia,16,,,,1,15,,0.1
Haiti,15,+7,,,1,14,,1
New Caledonia,15,,,,,15,,53
Djibouti,14,,,,,14,,14
Tanzania,14,,,,1,13,,0.2
Equatorial Guinea,12,,,,,12,,9
Mongolia,12,,,,,12,,4
Dominica,11,,,,,11,,153
Saint Martin,11,,,,,11,,284
Niger,10,,1,,,9,,0.4
Bahamas,10,,,,1,9,,25
Greenland,10,,,,2,8,,176
Grenada,9,+2,,,,9,,80
Eswatini,9,,,,,9,,8
Cayman Islands,8,,1,,,7,,122
Curaçao,8,,1,,2,5,,49
Guyana,8,,1,,,7,,10
Guinea,8,,,,,8,,0.6
Laos,8,,,,,8,,1
Mozambique,8,,,,,8,,0.3
Myanmar,8,,,,,8,,0.1
Namibia,8,,,,2,6,,3
Seychelles,8,,,,,8,,81
Suriname,8,,,,,8,,14
Gabon,7,,1,,,6,,3
Zimbabwe,7,,1,,,6,,0.5
Antigua and Barbuda,7,,,,,7,,71
Cabo Verde,6,,1,,,5,,11
Benin,6,,,,,6,,0.5
Eritrea,6,,,,,6,,2
Vatican City,6,,,,,6,,"7,491"
Sudan,5,,1,,,4,,0.1
Nepal,5,,,,1,4,,0.2
Angola,5,,,,,5,,0.2
Fiji,5,,,,,5,,6
Mauritania,5,,,,,5,,1
Montserrat,5,,,,,5,,"1,002"
St. Barth,5,,,,,5,,506
Syria,5,,,,,5,,0.3
Nicaragua,4,,1,,,3,,0.6
Bhutan,4,+1,,,,4,,5
Congo,4,,,,,4,,0.7
