country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases,seriousCritical,totCases1mPop
Turks and Caicos,4,,,,,4,,103
Gambia,3,,1,,,2,,1
CAR,3,,,,,3,,0.6
Chad,3,,,,,3,,0.2
Liberia,3,,,,,3,,0.6
Libya,3,,,,,3,,0.4
Saint Lucia,3,,,,1,2,,16
Sint Maarten,3,,,,,3,,70
Somalia,3,,,,,3,,0.2
MS Zaandam,2,,,,,2,,
Anguilla,2,,,,,2,,133
Belize,2,,,,,2,,5
British Virgin Islands,2,,,,,2,,66
Guinea-Bissau,2,,,,,2,,1
Saint Kitts and Nevis,2,,,,,2,,38
Papua New Guinea,1,,,,,1,,0.1
St. Vincent Grenadines,1,,,,1,0,,9
Timor-Leste,1,,,,,1,,0.8
China,"81,439",+45,"3,300",+5,"75,448","2,691",742,57
