country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases,seriousCritical,totCases1mPop
Finland,"1,286",+46,11,,10,"1,265",32,232
South Africa,"1,280",,2,,31,"1,247",7,22
Greece,"1,156",,39,,52,"1,065",66,111
India,"1,071",+47,29,+2,100,942,,0.8
Iceland,"1,020",,2,,135,883,25,"2,989"
Mexico,993,+145,20,+4,35,938,1,8
Panama,989,,24,,4,961,36,229
Dominican Republic,859,,39,,3,817,,79
Peru,852,,18,,16,818,40,26
Singapore,844,,3,,212,629,19,144
Argentina,820,,20,,91,709,,18
Slovenia,756,+26,11,,10,735,28,364
Serbia,741,,13,,42,686,25,85
Estonia,715,+36,3,,20,692,10,539
Croatia,713,,6,,55,652,26,174
Diamond Princess,712,,10,,603,99,15,
Colombia,702,,10,,10,682,29,14
Hong Kong,642,,4,,118,520,5,86
Qatar,634,,1,,48,585,6,220
Egypt,609,,40,,132,437,,6
New Zealand,589,+75,1,,63,525,2,122
UAE,570,,3,,58,509,2,58
Iraq,547,,42,,143,362,,14
Morocco,516,+37,27,+1,13,476,1,14
Bahrain,515,+16,4,,279,232,2,303
Algeria,511,,31,,31,449,,12
Lithuania,484,+24,7,,1,476,2,178
Armenia,482,+58,3,,30,449,6,163
Ukraine,475,,10,,6,459,,11
Hungary,447,+39,15,+2,34,398,6,46
Lebanon,446,+8,11,+1,32,403,3,65
Latvia,376,+29,,,1,375,3,199
Bulgaria,354,+8,8,,15,331,13,51
Bosnia and Herzegovina,340,+17,6,,8,326,1,104
Andorra,334,,6,,6,322,10,"4,323"
Costa Rica,314,,2,,3,309,6,62
Slovakia,314,,,,2,312,1,58
Tunisia,312,,8,,2,302,10,26
Taiwan,306,+8,5,+2,39,262,,13
Uruguay,304,,1,,,303,9,88
Kazakhstan,294,+10,1,,20,273,,16
Kuwait,266,+11,,,72,194,13,62
Moldova,263,,2,,13,248,33,65
North Macedonia,259,,6,,3,250,1,124
Jordan,259,,3,,18,238,3,25
San Marino,224,,22,,6,196,16,"6,602"
Albania,223,+11,11,+1,44,168,7,77
Burkina Faso,222,,12,,23,187,,11
Cyprus,214,,6,,15,193,3,177
Azerbaijan,209,,4,,15,190,23,21
Vietnam,194,,,,52,142,3,2
Réunion,183,,,,1,182,,204
Oman,167,,,,23,144,3,33
Ivory Coast,165,,1,,4,160,,6
Faeroe Islands,159,,,,70,89,1,"3,254"
Ghana,152,,5,,2,145,1,5
Malta,151,,,,2,149,4,342
Uzbekistan,144,,2,,7,135,8,4
Senegal,142,,,,27,115,,8
Cameroon,139,,6,,5,128,,5
Cuba,139,,3,,4,132,2,12
Honduras,139,+29,3,,3,133,4,14
Brunei ,127,+1,1,,38,88,3,290
Afghanistan,120,,4,,2,114,,3
Sri Lanka,120,+3,1,,15,104,5,6
Venezuela,119,,3,,39,77,6,4
Palestine,115,+6,1,,18,96,,23
Nigeria,111,,1,,3,107,,0.5
Mauritius,110,+3,3,,,107,1,86
Channel Islands,108,,2,,,106,,621
Cambodia,107,+4,,,21,86,1,6
Guadeloupe,106,,4,,17,85,10,265
Georgia,98,+7,,,18,80,1,25
Bolivia,96,+15,1,,,95,3,8
Belarus,94,,,,32,62,2,10
Kyrgyzstan,94,+10,,,,94,,14
Martinique,93,,1,,,92,12,248
Montenegro,91,+6,1,,,90,1,145
DRC,81,,8,,2,71,,0.9
Trinidad and Tobago,78,,3,,1,74,,56
Rwanda,70,,,,,70,,5
Gibraltar,65,,,,14,51,,"1,929"
Paraguay,64,+5,3,,1,60,3,9
Mayotte,63,,,,,63,,231
Liechtenstein,56,,,,,56,,"1,469"
Aruba,50,,,,1,49,,468
Bangladesh,49,+1,5,,19,25,1,0.3
Monaco,46,,1,,1,44,,"1,172"
Isle of Man,46,+4,,,,46,,541
French Guiana,43,,,,6,37,,144
Kenya,42,,1,,1,40,2,0.8
Madagascar,39,,,,,39,,1
Macao,38,+1,,,10,28,,59
Guatemala,34,,1,,10,23,1,2
Barbados,33,,,,,33,,115
Uganda,33,,,,,33,,0.7
Jamaica,32,,1,,2,29,,11
Togo,30,+5,1,,1,28,,4
El Salvador,30,+6,,,,30,,5
French Polynesia,30,,,,,30,,107
Zambia,29,,,,,29,,2
Ethiopia,23,+2,,,1,22,,0.2
Bermuda,22,,,,2,20,,353
Congo,19,,,,,19,,3
Mali,18,,1,,,17,,0.9
Niger,18,,1,,,17,,0.7
Djibouti,18,,,,,18,,18
Maldives,17,,,,13,4,,31
Guinea,16,,,,,16,,1
Haiti,15,,,,1,14,,1
New Caledonia,15,,,,,15,,53
Bahamas,14,,,,1,13,,36
Tanzania,14,,,,1,13,,0.2
Cayman Islands,12,,1,,,11,,183
Equatorial Guinea,12,,,,,12,,9
Eritrea,12,,,,,12,,3
Mongolia,12,,,,2,10,,4
Dominica,11,,,,,11,,153
Namibia,11,,,,2,9,,4
Saint Martin,11,,,,,11,,284
Greenland,10,,,,2,8,,176
Myanmar,10,,,,,10,,0.2
Syria,9,,1,,,8,,0.5
Grenada,9,,,,,9,,80
Saint Lucia,9,,,,1,8,,49
Eswatini,9,,,,,9,,8
Curaçao,8,,1,,2,5,,49
Guyana,8,,1,,,7,,10
Laos,8,,,,,8,,1
Libya,8,,,,,8,,1
Mozambique,8,,,,,8,,0.3
Seychelles,8,,,,,8,,81
Suriname,8,,,,,8,,14
Angola,7,,2,,,5,,0.2
Gabon,7,,1,,,6,,3
Zimbabwe,7,,1,,,6,,0.5
Antigua and Barbuda,7,,,,,7,,71
Cabo Verde,6,,1,,,5,,11
Sudan,6,,1,,,5,,0.1
Benin,6,,,,,6,,0.5
Vatican City,6,,,,,6,,"7,491"
Sint Maarten,6,,,,,6,,140
Nepal,5,,,,1,4,,0.2
Fiji,5,,,,,5,,6
Mauritania,5,,,,2,3,,1
Montserrat,5,,,,,5,,"1,002"
St. Barth,5,,,,,5,,506
Gambia,4,,1,,,3,,2
Nicaragua,4,,1,,,3,,0.6
Bhutan,4,,,,,4,,5
Turks and Caicos,4,,,,,4,,103
CAR,3,,,,,3,,0.6
Chad,3,,,,,3,,0.2
Liberia,3,,,,,3,,0.6
Somalia,3,,,,,3,,0.2
MS Zaandam,2,,,,,2,,
Anguilla,2,,,,,2,,133
Belize,2,,,,,2,,5
British Virgin Islands,2,,,,,2,,66
Guinea-Bissau,2,,,,,2,,1
Saint Kitts and Nevis,2,,,,,2,,38
Papua New Guinea,1,,,,,1,,0.1
St. Vincent Grenadines,1,,,,1,0,,9
Timor-Leste,1,,,,,1,,0.8
China,"81,470",+31,"3,304",+4,"75,700","2,466",633,57
