country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases,seriousCritical,totCases1mPop
USA,"142,737",+277,"2,489",+5,"4,562","135,686","2,970",431
Italy,"97,689",,"10,779",,"13,030","73,880","3,906","1,616"
Spain,"85,195","+5,085","7,340",+537,"16,780","61,075","4,165","1,822"
Germany,"62,435",,541,,"9,211","52,683","1,979",745
France,"40,174",,"2,606",,"7,202","30,366","4,632",615
Iran,"38,309",,"2,640",,"12,391","23,278","3,206",456
UK,"19,522",,"1,228",,135,"18,159",163,288
Switzerland,"15,069",+240,312,+12,"1,823","12,934",301,"1,741"
Netherlands,"10,866",,771,,250,"9,845",972,634
Belgium,"10,836",,431,,"1,359","9,046",867,935
S. Korea,"9,661",+78,158,+6,"5,228","4,275",59,188
Turkey,"9,217",,131,,105,"8,981",568,109
Austria,"8,958",+170,86,,479,"8,393",187,995
Canada,"6,320",,65,,573,"5,682",120,167
Portugal,"5,962",,119,,43,"5,800",89,585
Israel,"4,347",+100,15,,134,"4,198",80,502
Norway,"4,305",+21,26,,7,"4,272",91,794
Brazil,"4,256",,136,,6,"4,114",296,20
Australia,"4,245",+82,18,+1,244,"3,983",28,166
Sweden,"3,700",,110,,16,"3,574",281,366
Czechia,"2,859",+42,17,+1,11,"2,831",45,267
Malaysia,"2,626",+156,37,+2,479,"2,110",94,81
Ireland,"2,615",,46,,5,"2,564",59,530
Denmark,"2,555",+160,72,,1,"2,482",113,441
Chile,"2,139",,7,,75,"2,057",7,112
Luxembourg,"1,950",,21,,40,"1,889",25,"3,115"
Ecuador,"1,924",,58,,3,"1,863",58,109
Poland,"1,905",+43,26,+4,7,"1,872",3,50
Japan,"1,866",,54,,424,"1,388",56,15
Russia,"1,836",+302,9,+1,66,"1,761",8,13
Romania,"1,815",,44,+1,206,"1,565",31,94
Pakistan,"1,625",+28,18,+4,29,"1,578",11,7
Philippines,"1,546",+128,78,+7,42,"1,426",1,14
Thailand,"1,524",+136,7,,229,"1,288",11,22
Indonesia,"1,414",+129,122,+8,75,"1,217",,5
Saudi Arabia,"1,299",,8,,66,"1,225",12,37
